EffectiveTime,FieldName,Region,Value
01-Jan-2023 00:00:00,SYSTEM_DEMAND,ROI,3322
01-Jan-2023 00:15:00,SYSTEM_DEMAND,ROI,3316
01-Jan-2023 00:30:00,SYSTEM_DEMAND,ROI,3286
01-Jan-2023 00:45:00,SYSTEM_DEMAND,ROI,3232
01-Jan-2023 01:00:00,SYSTEM_DEMAND,ROI,3204
01-Jan-2023 01:15:00,SYSTEM_DEMAND,ROI,3170
01-Jan-2023 01:30:00,SYSTEM_DEMAND,ROI,3130
01-Jan-2023 01:45:00,SYSTEM_DEMAND,ROI,3077
01-Jan-2023 02:00:00,SYSTEM_DEMAND,ROI,3036
01-Jan-2023 02:15:00,SYSTEM_DEMAND,ROI,3015
01-Jan-2023 02:30:00,SYSTEM_DEMAND,ROI,2978
01-Jan-2023 02:45:00,SYSTEM_DEMAND,ROI,2958
01-Jan-2023 03:00:00,SYSTEM_DEMAND,ROI,2930
01-Jan-2023 03:15:00,SYSTEM_DEMAND,ROI,2911
01-Jan-2023 03:30:00,SYSTEM_DEMAND,ROI,2888
01-Jan-2023 03:45:00,SYSTEM_DEMAND,ROI,2863
01-Jan-2023 04:00:00,SYSTEM_DEMAND,ROI,2842
01-Jan-2023 04:15:00,SYSTEM_DEMAND,ROI,2843
01-Jan-2023 04:30:00,SYSTEM_DEMAND,ROI,2839
01-Jan-2023 04:45:00,SYSTEM_DEMAND,ROI,2799
01-Jan-2023 05:00:00,SYSTEM_DEMAND,ROI,2787
01-Jan-2023 05:15:00,SYSTEM_DEMAND,ROI,2798
01-Jan-2023 05:30:00,SYSTEM_DEMAND,ROI,2805
01-Jan-2023 05:45:00,SYSTEM_DEMAND,ROI,2815
01-Jan-2023 06:00:00,SYSTEM_DEMAND,ROI,2836
01-Jan-2023 06:15:00,SYSTEM_DEMAND,ROI,2851
01-Jan-2023 06:30:00,SYSTEM_DEMAND,ROI,2839
01-Jan-2023 06:45:00,SYSTEM_DEMAND,ROI,2859
01-Jan-2023 07:00:00,SYSTEM_DEMAND,ROI,2871
01-Jan-2023 07:15:00,SYSTEM_DEMAND,ROI,2892
01-Jan-2023 07:30:00,SYSTEM_DEMAND,ROI,2906
01-Jan-2023 07:45:00,SYSTEM_DEMAND,ROI,2926
01-Jan-2023 08:00:00,SYSTEM_DEMAND,ROI,2936
01-Jan-2023 08:15:00,SYSTEM_DEMAND,ROI,2953
01-Jan-2023 08:30:00,SYSTEM_DEMAND,ROI,2946
01-Jan-2023 08:45:00,SYSTEM_DEMAND,ROI,2977
01-Jan-2023 09:00:00,SYSTEM_DEMAND,ROI,3022
01-Jan-2023 09:15:00,SYSTEM_DEMAND,ROI,3071
01-Jan-2023 09:30:00,SYSTEM_DEMAND,ROI,3109
01-Jan-2023 09:45:00,SYSTEM_DEMAND,ROI,3165
01-Jan-2023 10:00:00,SYSTEM_DEMAND,ROI,3222
01-Jan-2023 10:15:00,SYSTEM_DEMAND,ROI,3290
01-Jan-2023 10:30:00,SYSTEM_DEMAND,ROI,3350
