EffectiveTime,FieldName,Region,Value
01-Jan-2016 00:00:00,SYSTEM_DEMAND,ROI,2971
01-Jan-2016 00:15:00,SYSTEM_DEMAND,ROI,2967
01-Jan-2016 00:30:00,SYSTEM_DEMAND,ROI,2934
01-Jan-2016 00:45:00,SYSTEM_DEMAND,ROI,2877
01-Jan-2016 01:00:00,SYSTEM_DEMAND,ROI,2818
01-Jan-2016 01:15:00,SYSTEM_DEMAND,ROI,2771
01-Jan-2016 01:30:00,SYSTEM_DEMAND,ROI,2706
01-Jan-2016 01:45:00,SYSTEM_DEMAND,ROI,2657
01-Jan-2016 02:00:00,SYSTEM_DEMAND,ROI,2573
01-Jan-2016 02:15:00,SYSTEM_DEMAND,ROI,2524
01-Jan-2016 02:30:00,SYSTEM_DEMAND,ROI,2477
01-Jan-2016 02:45:00,SYSTEM_DEMAND,ROI,2430
01-Jan-2016 03:00:00,SYSTEM_DEMAND,ROI,2393
01-Jan-2016 03:15:00,SYSTEM_DEMAND,ROI,2361
01-Jan-2016 03:30:00,SYSTEM_DEMAND,ROI,2327
01-Jan-2016 03:45:00,SYSTEM_DEMAND,ROI,2319
01-Jan-2016 04:00:00,SYSTEM_DEMAND,ROI,2316
01-Jan-2016 04:15:00,SYSTEM_DEMAND,ROI,2262
01-Jan-2016 04:30:00,SYSTEM_DEMAND,ROI,2235
01-Jan-2016 04:45:00,SYSTEM_DEMAND,ROI,2219
01-Jan-2016 05:00:00,SYSTEM_DEMAND,ROI,2216
01-Jan-2016 05:15:00,SYSTEM_DEMAND,ROI,2221
01-Jan-2016 05:30:00,SYSTEM_DEMAND,ROI,2210
01-Jan-2016 05:45:00,SYSTEM_DEMAND,ROI,2198
01-Jan-2016 06:00:00,SYSTEM_DEMAND,ROI,2214
01-Jan-2016 06:15:00,SYSTEM_DEMAND,ROI,2238
01-Jan-2016 06:30:00,SYSTEM_DEMAND,ROI,2244
01-Jan-2016 06:45:00,SYSTEM_DEMAND,ROI,2234
01-Jan-2016 07:00:00,SYSTEM_DEMAND,ROI,2247
01-Jan-2016 07:15:00,SYSTEM_DEMAND,ROI,2236
01-Jan-2016 07:30:00,SYSTEM_DEMAND,ROI,2250
01-Jan-2016 07:45:00,SYSTEM_DEMAND,ROI,2283
01-Jan-2016 08:00:00,SYSTEM_DEMAND,ROI,2281
01-Jan-2016 08:15:00,SYSTEM_DEMAND,ROI,2278
01-Jan-2016 08:30:00,SYSTEM_DEMAND,ROI,2290
