EffectiveTime,FieldName,Region,Value
01-Jan-2021 00:00:00,SYSTEM_DEMAND,ROI,3323
01-Jan-2021 00:15:00,SYSTEM_DEMAND,ROI,3299
01-Jan-2021 00:30:00,SYSTEM_DEMAND,ROI,3241
01-Jan-2021 00:45:00,SYSTEM_DEMAND,ROI,3185
01-Jan-2021 01:00:00,SYSTEM_DEMAND,ROI,3140
01-Jan-2021 01:15:00,SYSTEM_DEMAND,ROI,3061
01-Jan-2021 01:30:00,SYSTEM_DEMAND,ROI,3001
01-Jan-2021 01:45:00,SYSTEM_DEMAND,ROI,2965
01-Jan-2021 02:00:00,SYSTEM_DEMAND,ROI,2912
01-Jan-2021 02:15:00,SYSTEM_DEMAND,ROI,2887
01-Jan-2021 02:30:00,SYSTEM_DEMAND,ROI,2839
01-Jan-2021 02:45:00,SYSTEM_DEMAND,ROI,2805
01-Jan-2021 03:00:00,SYSTEM_DEMAND,ROI,2775
01-Jan-2021 03:15:00,SYSTEM_DEMAND,ROI,2725
01-Jan-2021 03:30:00,SYSTEM_DEMAND,ROI,2700
01-Jan-2021 03:45:00,SYSTEM_DEMAND,ROI,2721
01-Jan-2021 04:00:00,SYSTEM_DEMAND,ROI,2704
01-Jan-2021 04:15:00,SYSTEM_DEMAND,ROI,2706
01-Jan-2021 04:30:00,SYSTEM_DEMAND,ROI,2677
01-Jan-2021 04:45:00,SYSTEM_DEMAND,ROI,2669
01-Jan-2021 05:00:00,SYSTEM_DEMAND,ROI,2670
01-Jan-2021 05:15:00,SYSTEM_DEMAND,ROI,2669
01-Jan-2021 05:30:00,SYSTEM_DEMAND,ROI,2665
01-Jan-2021 05:45:00,SYSTEM_DEMAND,ROI,2672
01-Jan-2021 06:00:00,SYSTEM_DEMAND,ROI,2675
01-Jan-2021 06:15:00,SYSTEM_DEMAND,ROI,2714
01-Jan-2021 06:30:00,SYSTEM_DEMAND,ROI,2719
01-Jan-2021 06:45:00,SYSTEM_DEMAND,ROI,2725
01-Jan-2021 07:00:00,SYSTEM_DEMAND,ROI,2729
01-Jan-2021 07:15:00,SYSTEM_DEMAND,ROI,2727
01-Jan-2021 07:30:00,SYSTEM_DEMAND,ROI,2749
01-Jan-2021 07:45:00,SYSTEM_DEMAND,ROI,2770
01-Jan-2021 08:00:00,SYSTEM_DEMAND,ROI,2788
01-Jan-2021 08:15:00,SYSTEM_DEMAND,ROI,2775
01-Jan-2021 08:30:00,SYSTEM_DEMAND,ROI,2764
01-Jan-2021 08:45:00,SYSTEM_DEMAND,ROI,2772
01-Jan-2021 09:00:00,SYSTEM_DEMAND,ROI,2838
01-Jan-2021 09:15:00,SYSTEM_DEMAND,ROI,2903
01-Jan-2021 09:30:00,SYSTEM_DEMAND,ROI,2956
01-Jan-2021 09:45:00,SYSTEM_DEMAND,ROI,3033
01-Jan-2021 10:00:00,SYSTEM_DEMAND,ROI,3089
01-Jan-2021 10:15:00,SYSTEM_DEMAND,ROI,3166
01-Jan-2021 10:30:00,SYSTEM_DEMAND,ROI,3211
01-Jan-2021 10:45:00,SYSTEM_DEMAND,ROI,3280
01-Jan-2021 11:00:00,SYSTEM_DEMAND,ROI,3349
01-Jan-2021 11:15:00,SYSTEM_DEMAND,ROI,3398
01-Jan-2021 11:30:00,SYSTEM_DEMAND,ROI,3455
01-Jan-2021 11:45:00,SYSTEM_DEMAND,ROI,3520
01-Jan-2021 12:00:00,SYSTEM_DEMAND,ROI,3551
01-Jan-2021 12:15:00,SYSTEM_DEMAND,ROI,3621
01-Jan-2021 12:30:00,SYSTEM_DEMAND,ROI,3679
01-Jan-2021 12:45:00,SYSTEM_DEMAND,ROI,3701
01-Jan-2021 13:00:00,SYSTEM_DEMAND,ROI,3727
01-Jan-2021 13:15:00,SYSTEM_DEMAND,ROI,3728
01-Jan-2021 13:30:00,SYSTEM_DEMAND,ROI,3746
01-Jan-2021 13:45:00,SYSTEM_DEMAND,ROI,3751
01-Jan-2021 14:00:00,SYSTEM_DEMAND,ROI,3721
01-Jan-2021 14:15:00,SYSTEM_DEMAND,ROI,3710
01-Jan-2021 14:30:00,SYSTEM_DEMAND,ROI,3706
01-Jan-2021 14:45:00,SYSTEM_DEMAND,ROI,3673
01-Jan-2021 15:00:00,SYSTEM_DEMAND,ROI,3662
01-Jan-2021 15:15:00,SYSTEM_DEMAND,ROI,3680
01-Jan-2021 15:30:00,SYSTEM_DEMAND,ROI,3705
01-Jan-2021 15:45:00,SYSTEM_DEMAND,ROI,3741
01-Jan-2021 16:00:00,SYSTEM_DEMAND,ROI,3780
01-Jan-2021 16:15:00,SYSTEM_DEMAND,ROI,3847
01-Jan-2021 16:30:00,SYSTEM_DEMAND,ROI,3899
01-Jan-2021 16:45:00,SYSTEM_DEMAND,ROI,4071
01-Jan-2021 17:00:00,SYSTEM_DEMAND,ROI,4197
01-Jan-2021 17:15:00,SYSTEM_DEMAND,ROI,4279
01-Jan-2021 17:30:00,SYSTEM_DEMAND,ROI,4296
01-Jan-2021 17:45:00,SYSTEM_DEMAND,ROI,4294
01-Jan-2021 18:00:00,SYSTEM_DEMAND,ROI,4271
01-Jan-2021 18:15:00,SYSTEM_DEMAND,ROI,4208
01-Jan-2021 18:30:00,SYSTEM_DEMAND,ROI,4159
01-Jan-2021 18:45:00,SYSTEM_DEMAND,ROI,4076
01-Jan-2021 19:00:00,SYSTEM_DEMAND,ROI,4030
01-Jan-2021 19:15:00,SYSTEM_DEMAND,ROI,3977
01-Jan-2021 19:30:00,SYSTEM_DEMAND,ROI,3920
01-Jan-2021 19:45:00,SYSTEM_DEMAND,ROI,3873
01-Jan-2021 20:00:00,SYSTEM_DEMAND,ROI,3812
01-Jan-2021 20:15:00,SYSTEM_DEMAND,ROI,3758
01-Jan-2021 20:30:00,SYSTEM_DEMAND,ROI,3719
01-Jan-2021 20:45:00,SYSTEM_DEMAND,ROI,3661
01-Jan-2021 21:00:00,SYSTEM_DEMAND,ROI,3648
01-Jan-2021 21:15:00,SYSTEM_DEMAND,ROI,3581
01-Jan-2021 21:30:00,SYSTEM_DEMAND,ROI,3516
01-Jan-2021 21:45:00,SYSTEM_DEMAND,ROI,3482
01-Jan-2021 22:00:00,SYSTEM_DEMAND,ROI,3456
01-Jan-2021 22:15:00,SYSTEM_DEMAND,ROI,3402
01-Jan-2021 22:30:00,SYSTEM_DEMAND,ROI,3377
01-Jan-2021 22:45:00,SYSTEM_DEMAND,ROI,3318
01-Jan-2021 23:00:00,SYSTEM_DEMAND,ROI,3326
01-Jan-2021 23:15:00,SYSTEM_DEMAND,ROI,3370
01-Jan-2021 23:30:00,SYSTEM_DEMAND,ROI,3317
01-Jan-2021 23:45:00,SYSTEM_DEMAND,ROI,3261
02-Jan-2021 00:00:00,SYSTEM_DEMAND,ROI,3192
02-Jan-2021 00:15:00,SYSTEM_DEMAND,ROI,3152
02-Jan-2021 00:30:00,SYSTEM_DEMAND,ROI,3101
02-Jan-2021 00:45:00,SYSTEM_DEMAND,ROI,3028
02-Jan-2021 01:00:00,SYSTEM_DEMAND,ROI,2961
02-Jan-2021 01:15:00,SYSTEM_DEMAND,ROI,2908
02-Jan-2021 01:30:00,SYSTEM_DEMAND,ROI,2853
02-Jan-2021 01:45:00,SYSTEM_DEMAND,ROI,2816
02-Jan-2021 02:00:00,SYSTEM_DEMAND,ROI,2785
02-Jan-2021 02:15:00,SYSTEM_DEMAND,ROI,2752
02-Jan-2021 02:30:00,SYSTEM_DEMAND,ROI,2734
02-Jan-2021 02:45:00,SYSTEM_DEMAND,ROI,2683
02-Jan-2021 03:00:00,SYSTEM_DEMAND,ROI,2653
02-Jan-2021 03:15:00,SYSTEM_DEMAND,ROI,2642
02-Jan-2021 03:30:00,SYSTEM_DEMAND,ROI,2623
02-Jan-2021 03:45:00,SYSTEM_DEMAND,ROI,2611
02-Jan-2021 04:00:00,SYSTEM_DEMAND,ROI,2609
02-Jan-2021 04:15:00,SYSTEM_DEMAND,ROI,2594
02-Jan-2021 04:30:00,SYSTEM_DEMAND,ROI,2594
02-Jan-2021 04:45:00,SYSTEM_DEMAND,ROI,2579
02-Jan-2021 05:00:00,SYSTEM_DEMAND,ROI,2584
02-Jan-2021 05:15:00,SYSTEM_DEMAND,ROI,2597
02-Jan-2021 05:30:00,SYSTEM_DEMAND,ROI,2588
02-Jan-2021 05:45:00,SYSTEM_DEMAND,ROI,2582
02-Jan-2021 06:00:00,SYSTEM_DEMAND,ROI,2611
02-Jan-2021 06:15:00,SYSTEM_DEMAND,ROI,2654
02-Jan-2021 06:30:00,SYSTEM_DEMAND,ROI,2655
02-Jan-2021 06:45:00,SYSTEM_DEMAND,ROI,2695
02-Jan-2021 07:00:00,SYSTEM_DEMAND,ROI,2721
02-Jan-2021 07:15:00,SYSTEM_DEMAND,ROI,2766
02-Jan-2021 07:30:00,SYSTEM_DEMAND,ROI,2794
02-Jan-2021 07:45:00,SYSTEM_DEMAND,ROI,2841
02-Jan-2021 08:00:00,SYSTEM_DEMAND,ROI,2867
02-Jan-2021 08:15:00,SYSTEM_DEMAND,ROI,2882
02-Jan-2021 08:30:00,SYSTEM_DEMAND,ROI,2910
02-Jan-2021 08:45:00,SYSTEM_DEMAND,ROI,2932
02-Jan-2021 09:00:00,SYSTEM_DEMAND,ROI,3001
02-Jan-2021 09:15:00,SYSTEM_DEMAND,ROI,3093
02-Jan-2021 09:30:00,SYSTEM_DEMAND,ROI,3138
02-Jan-2021 09:45:00,SYSTEM_DEMAND,ROI,3222
02-Jan-2021 10:00:00,SYSTEM_DEMAND,ROI,3295
02-Jan-2021 10:15:00,SYSTEM_DEMAND,ROI,3371
02-Jan-2021 10:30:00,SYSTEM_DEMAND,ROI,3430
02-Jan-2021 10:45:00,SYSTEM_DEMAND,ROI,3477
02-Jan-2021 11:00:00,SYSTEM_DEMAND,ROI,3531
02-Jan-2021 11:15:00,SYSTEM_DEMAND,ROI,3571
02-Jan-2021 11:30:00,SYSTEM_DEMAND,ROI,3603
02-Jan-2021 11:45:00,SYSTEM_DEMAND,ROI,3647
02-Jan-2021 12:00:00,SYSTEM_DEMAND,ROI,3699
02-Jan-2021 12:15:00,SYSTEM_DEMAND,ROI,3752
02-Jan-2021 12:30:00,SYSTEM_DEMAND,ROI,3791
02-Jan-2021 12:45:00,SYSTEM_DEMAND,ROI,3808
02-Jan-2021 13:00:00,SYSTEM_DEMAND,ROI,3834
02-Jan-2021 13:15:00,SYSTEM_DEMAND,ROI,3843
02-Jan-2021 13:30:00,SYSTEM_DEMAND,ROI,3838
